"Package","Version"
"abind","1.4-5"
"affy","1.80.0"
"affyio","1.72.0"
"ALL","1.44.0"
"annotate","1.80.0"
"AnnotationDbi","1.64.1"
"AnnotationFilter","1.26.0"
"AnnotationHub","3.10.0"
"askpass","1.2.0"
"backports","1.4.1"
"base64","2.0.1"
"base64enc","0.1-3"
"beachmat","2.18.0"
"beanplot","1.3.1"
"beeswarm","0.4.0"
"BH","1.81.0-1"
"BiasedUrn","2.0.11"
"Biobase","2.62.0"
"BiocFileCache","2.10.1"
"BiocGenerics","0.48.1"
"BiocIO","1.12.0"
"BiocManager","1.30.22"
"BiocParallel","1.36.0"
"BiocVersion","3.18.1"
"biomaRt","2.58.0"
"Biostrings","2.70.1"
"biovizBase","1.50.0"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"BSgenome","1.70.1"
"bslib","0.6.1"
"bsseq","1.38.0"
"bumphunter","1.44.0"
"cachem","1.0.8"
"caTools","1.18.2"
"ChAMP","2.32.0"
"ChAMPdata","2.34.0"
"checkmate","2.3.1"
"circlize","0.4.15"
"cli","3.6.1"
"clipr","0.8.0"
"clue","0.3-65"
"colorspace","2.1-0"
"combinat","0.0-8"
"commonmark","1.9.0"
"ComplexHeatmap","2.15.4"
"ConsensusClusterPlus","1.66.0"
"conumee","1.36.0"
"cowplot","1.1.1"
"cpp11","0.4.7"
"crayon","1.5.2"
"crosstalk","1.2.1"
"curl","5.1.0"
"data.table","1.14.8"
"DBI","1.1.3"
"dbplyr","2.4.0"
"DelayedArray","0.28.0"
"DelayedMatrixStats","1.24.0"
"deldir","2.0-2"
"dendextend","1.17.1"
"dichromat","2.0-0.1"
"digest","0.6.33"
"DMRcate","2.16.1"
"DNAcopy","1.76.0"
"docopt","0.7.1"
"doParallel","1.0.17"
"doRNG","1.8.6"
"dotCall64","1.1-1"
"dplyr","1.1.4"
"dqrng","0.3.2"
"DSS","2.50.0"
"DT","0.30"
"edgeR","4.0.2"
"ellipsis","0.3.2"
"ensembldb","2.26.0"
"evaluate","0.23"
"ExperimentHub","2.10.0"
"fansi","1.0.5"
"farver","2.1.1"
"fastDummies","1.7.3"
"fastICA","1.2-4"
"fastmap","1.1.1"
"FDb.InfiniumMethylation.hg19","2.2.0"
"filelock","1.0.2"
"fitdistrplus","1.1-11"
"FNN","1.1.3.2"
"fontawesome","0.5.2"
"forcats","1.0.0"
"foreach","1.5.2"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.3"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.33.0"
"future.apply","1.11.0"
"genefilter","1.84.0"
"geneLenDataBase","1.38.0"
"generics","0.1.3"
"GenomeInfoDb","1.38.1"
"GenomeInfoDbData","1.2.11"
"GenomicAlignments","1.38.0"
"GenomicFeatures","1.54.1"
"GenomicRanges","1.54.1"
"GEOquery","2.70.0"
"GetoptLong","1.0.5"
"ggbeeswarm","0.7.2"
"ggplot2","3.4.4"
"ggprism","1.0.4"
"ggrepel","0.9.4"
"ggridges","0.5.4"
"GlobalOptions","0.1.2"
"globals","0.16.2"
"globaltest","5.56.0"
"glue","1.6.2"
"GO.db","3.18.0"
"goftest","1.2-3"
"goseq","1.54.0"
"gplots","3.1.3"
"gridExtra","2.3"
"gtable","0.3.4"
"gtools","3.9.5"
"Gviz","1.46.1"
"HDF5Array","1.30.0"
"here","1.0.1"
"highr","0.10"
"Hmisc","5.1-1"
"hms","1.1.3"
"htmlTable","2.4.2"
"htmltools","0.5.7"
"htmlwidgets","1.6.3"
"httpuv","1.6.12"
"httr","1.4.7"
"ica","1.0-3"
"igraph","1.5.1"
"Illumina450ProbeVariants.db","1.38.0"
"IlluminaHumanMethylation450kanno.ilmn12.hg19","0.6.1"
"IlluminaHumanMethylation450kmanifest","0.4.0"
"IlluminaHumanMethylationEPICanno.ilm10b2.hg19","0.6.0"
"IlluminaHumanMethylationEPICanno.ilm10b4.hg19","0.6.0"
"IlluminaHumanMethylationEPICmanifest","0.3.0"
"IlluminaHumanMethylationEPICv2manifest","0.1.0"
"illuminaio","0.44.0"
"impute","1.76.0"
"interactiveDisplayBase","1.40.0"
"interp","1.1-5"
"IRanges","2.36.0"
"irlba","2.3.5.1"
"isoband","0.2.7"
"isva","1.9"
"iterators","1.0.14"
"JADE","2.0-4"
"janitor","2.2.0"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"KEGGREST","1.42.0"
"knitr","1.45"
"kpmt","0.1.0"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.3.1"
"latticeExtra","0.6-30"
"lazyeval","0.2.2"
"leiden","0.4.3.1"
"lifecycle","1.0.4"
"limma","3.58.1"
"listenv","0.9.0"
"lmtest","0.9-40"
"locfit","1.5-9.8"
"lubridate","1.9.3"
"lumi","2.54.0"
"magrittr","2.0.3"
"marray","1.80.0"
"MatrixGenerics","1.14.0"
"matrixStats","1.1.0"
"mclust","6.0.1"
"memoise","2.0.1"
"methylumi","2.48.0"
"mime","0.12"
"minfi","1.48.0"
"miniUI","0.1.1.1"
"missMethyl","1.36.0"
"multtest","2.58.0"
"munsell","0.5.0"
"nleqslv","3.3.5"
"nor1mix","1.3-2"
"openssl","2.1.1"
"org.Hs.eg.db","3.18.0"
"paletteer","1.5.0"
"parallelly","1.36.0"
"patchwork","1.1.3"
"pbapply","1.7-2"
"permute","0.9-7"
"pillar","1.9.0"
"pkgconfig","2.0.3"
"plogr","0.2.0"
"plotly","4.10.3"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-6"
"preprocessCore","1.64.0"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"prismatic","1.1.1"
"progress","1.2.2"
"progressr","0.14.0"
"promises","1.2.1"
"ProtGenerics","1.34.0"
"purrr","1.0.2"
"quadprog","1.5-8"
"qvalue","2.34.0"
"R.methodsS3","1.8.2"
"R.oo","1.25.0"
"R.utils","2.12.3"
"R6","2.5.1"
"randomForest","4.7-1.1"
"RANN","2.6.1"
"rappdirs","0.3.3"
"rcartocolor","2.1.1"
"RColorBrewer","1.1-3"
"Rcpp","1.0.11"
"RcppAnnoy","0.0.21"
"RcppArmadillo","0.12.6.6.1"
"RcppEigen","0.3.3.9.4"
"RcppHNSW","0.5.0"
"RcppProgress","0.4.2"
"RcppTOML","0.2.2"
"RCurl","1.98-1.13"
"readr","2.1.4"
"rematch2","2.1.2"
"remotes","2.4.2.1"
"rentrez","1.2.3"
"reshape","0.8.9"
"reshape2","1.4.4"
"restfulr","0.0.15"
"reticulate","1.34.0"
"RFpurify","0.1.2"
"rhdf5","2.46.1"
"rhdf5filters","1.14.1"
"Rhdf5lib","1.24.0"
"Rhtslib","2.4.0"
"rjson","0.2.21"
"rlang","1.1.2"
"rmarkdown","2.25"
"rngtools","1.5.2"
"ROC","1.78.0"
"ROCR","1.0-11"
"RPMM","1.25"
"rprojroot","2.0.4"
"Rsamtools","2.18.0"
"RSpectra","0.16-1"
"RSQLite","2.3.3"
"rstudioapi","0.15.0"
"rtracklayer","1.62.0"
"Rtsne","0.16"
"ruv","0.9.7.1"
"S4Arrays","1.2.0"
"S4Vectors","0.40.2"
"sass","0.4.7"
"scales","1.3.0"
"scattermore","1.2"
"scrime","1.3.5"
"sctransform","0.4.1"
"sesame","1.20.0"
"sesameData","1.20.0"
"Seurat","5.0.1"
"SeuratObject","5.0.1"
"shape","1.4.6"
"shiny","1.8.0"
"shinythemes","1.2.0"
"siggenes","1.76.0"
"sitmo","2.0.2"
"snakecase","0.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"sp","2.1-2"
"spam","2.10-0"
"SparseArray","1.2.2"
"sparseMatrixStats","1.14.0"
"spatstat.data","3.0-3"
"spatstat.explore","3.2-5"
"spatstat.geom","3.2-7"
"spatstat.random","3.2-2"
"spatstat.sparse","3.0-3"
"spatstat.utils","3.0-4"
"statmod","1.5.0"
"stringi","1.8.2"
"stringr","1.5.1"
"SummarizedExperiment","1.32.0"
"sva","3.50.0"
"sys","3.4.2"
"systemfonts","1.0.5"
"tensor","1.5"
"tibble","3.2.1"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"timechange","0.2.0"
"tinytex","0.49"
"TxDb.Hsapiens.UCSC.hg19.knownGene","3.2.2"
"tzdb","0.4.0"
"utf8","1.2.4"
"uwot","0.1.16"
"VariantAnnotation","1.48.1"
"vctrs","0.6.5"
"vipor","0.4.5"
"viridis","0.6.4"
"viridisLite","0.4.2"
"vroom","1.6.5"
"wateRmelon","2.8.0"
"wheatmap","0.2.0"
"withr","2.5.2"
"xfun","0.41"
"XML","3.99-0.16"
"xml2","1.3.6"
"xtable","1.8-4"
"XVector","0.42.0"
"yaml","2.3.7"
"zlibbioc","1.48.0"
"zoo","1.8-12"
"littler","0.3.18"
