"Package","Version"
"askpass","1.2.0"
"backports","1.4.1"
"base64enc","0.1-3"
"BiocGenerics","0.48.1"
"BiocManager","1.30.22"
"bit","4.0.5"
"bit64","4.0.5"
"blob","1.2.4"
"broom","1.0.5"
"bslib","0.6.1"
"cachem","1.0.8"
"callr","3.7.3"
"cellranger","1.1.0"
"circlize","0.4.15"
"cli","3.6.2"
"clipr","0.8.0"
"clue","0.3-65"
"colorspace","2.1-0"
"ComplexHeatmap","2.15.4"
"conflicted","1.2.0"
"cpp11","0.4.7"
"crayon","1.5.2"
"curl","5.2.0"
"data.table","1.14.10"
"DBI","1.1.3"
"dbplyr","2.4.0"
"digest","0.6.33"
"docopt","0.7.1"
"doParallel","1.0.17"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"ellipsis","0.3.2"
"evaluate","0.23"
"fansi","1.0.6"
"farver","2.1.1"
"fastmap","1.1.1"
"fontawesome","0.5.2"
"forcats","1.0.0"
"foreach","1.5.2"
"fs","1.6.3"
"gargle","1.5.2"
"generics","0.1.3"
"GetoptLong","1.0.5"
"ggplot2","3.4.4"
"ggrepel","0.9.4"
"GlobalOptions","0.1.2"
"glue","1.6.2"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gridExtra","2.3"
"gtable","0.3.4"
"haven","2.5.4"
"highr","0.10"
"hms","1.1.3"
"htmltools","0.5.7"
"httr","1.4.7"
"ids","1.0.1"
"IRanges","2.36.0"
"isoband","0.2.7"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"knitr","1.45"
"labeling","0.4.3"
"lifecycle","1.0.4"
"littler","0.3.18"
"lubridate","1.9.3"
"magrittr","2.0.3"
"matrixStats","1.2.0"
"memoise","2.0.1"
"mime","0.12"
"modelr","0.1.11"
"munsell","0.5.0"
"openssl","2.1.1"
"pillar","1.9.0"
"pkgconfig","2.0.3"
"png","0.1-8"
"prettyunits","1.2.0"
"processx","3.8.3"
"progress","1.2.3"
"ps","1.7.5"
"purrr","1.0.2"
"R6","2.5.1"
"ragg","1.2.7"
"rappdirs","0.3.3"
"RColorBrewer","1.1-3"
"Rcpp","1.0.11"
"readr","2.1.4"
"readxl","1.4.3"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.4.2.1"
"reprex","2.0.2"
"rjson","0.2.21"
"rlang","1.1.2"
"rmarkdown","2.25"
"rstudioapi","0.15.0"
"rvest","1.0.3"
"S4Vectors","0.40.2"
"sass","0.4.8"
"scales","1.3.0"
"selectr","0.4-2"
"shape","1.4.6"
"stringi","1.8.3"
"stringr","1.5.1"
"sys","3.4.2"
"systemfonts","1.0.5"
"textshaping","0.3.7"
"tibble","3.2.1"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidyverse","2.0.0"
"timechange","0.2.0"
"tinytex","0.49"
"tzdb","0.4.0"
"utf8","1.2.4"
"uuid","1.1-1"
"vctrs","0.6.5"
"viridis","0.6.4"
"viridisLite","0.4.2"
"vroom","1.6.5"
"withr","2.5.2"
"xfun","0.41"
"xml2","1.3.6"
"yaml","2.3.8"
